index,time,figure
178,14:45,figures/display_0178.jpg
179,14:50,figures/display_0179.jpg
180,14:55,figures/display_0180.jpg
181,15:00,figures/display_0181.jpg
182,15:05,figures/display_0182.jpg
183,15:10,figures/display_0183.jpg
184,15:15,figures/display_0184.jpg
185,15:20,figures/display_0185.jpg
186,15:25,figures/display_0186.jpg
187,15:30,figures/display_0187.jpg
188,15:35,figures/display_0188.jpg
189,15:40,figures/display_0189.jpg
190,15:45,figures/display_0190.jpg
191,15:50,figures/display_0191.jpg
192,15:55,figures/display_0192.jpg
193,16:00,figures/display_0193.jpg
194,16:05,figures/display_0194.jpg
195,16:10,figures/display_0195.jpg
196,16:15,figures/display_0196.jpg
197,16:20,figures/display_0197.jpg
198,16:25,figures/display_0198.jpg
199,16:30,figures/display_0199.jpg
200,16:35,figures/display_0200.jpg
201,16:40,figures/display_0201.jpg
202,16:45,figures/display_0202.jpg
203,16:50,figures/display_0203.jpg
204,16:55,figures/display_0204.jpg
205,17:00,figures/display_0205.jpg
206,17:05,figures/display_0206.jpg
207,17:10,figures/display_0207.jpg
208,17:15,figures/display_0208.jpg
209,17:20,figures/display_0209.jpg
210,17:25,figures/display_0210.jpg
211,17:30,figures/display_0211.jpg
212,17:35,figures/display_0212.jpg
213,17:40,figures/display_0213.jpg
214,17:45,figures/display_0214.jpg
215,17:50,figures/display_0215.jpg
216,17:55,figures/display_0216.jpg
217,18:00,figures/display_0217.jpg
218,18:05,figures/display_0218.jpg
