lag_frames,lag_s,msd_um2,displacement_count
1,0.0666666667,0.05000414657258137,13648
2,0.1333333334,0.09664375075355161,13531
3,0.20000000010000002,0.14542782030394288,13418
4,0.2666666668,0.19590165052030817,13307
5,0.3333333335,0.24677864576850836,13200
6,0.40000000020000004,0.2997981534584362,13081
7,0.4666666669,0.35443753511218296,12967
8,0.5333333336,0.41018142465110974,12872
9,0.6000000003,0.4683539582286497,12738
10,0.666666667,0.5273658530454546,12603
11,0.7333333337,0.5878977096841245,12461
12,0.8000000004000001,0.6473358027672229,12356
13,0.8666666671000001,0.7097650530427163,12251
14,0.9333333338,0.7729222846957643,12119
15,1.0000000005,0.8394152015912127,12046
16,1.0666666672,0.9073785697088051,11935
17,1.1333333339,0.9763166089625321,11858
18,1.2000000006,1.0467917773704642,11755
19,1.2666666673,1.1189487556734996,11615
20,1.333333334,1.1936291052500716,11514
21,1.4000000007,1.2668725084003742,11414
22,1.4666666674,1.3376689154916737,11313
23,1.5333333341,1.413074840777503,11258
24,1.6000000008000002,1.4880882442137464,11204
25,1.6666666675000001,1.5596088402308477,11098
26,1.7333333342000001,1.6371771284092362,11045
27,1.8000000009000001,1.6832240268800605,10951
28,1.8666666676,1.7639023326113918,10865
29,1.9333333343,1.8422724937309105,10815
30,2.000000001,1.922904966837259,10766
31,2.0666666677,1.984554103064691,10684
32,2.1333333344,2.0904779021894595,10378
33,2.2000000011000003,2.1763981207536665,10336
34,2.2666666678,2.263432235305368,10294
35,2.3333333345000002,2.348661691085777,10180
36,2.4000000012,2.4384738297015556,10066
37,2.4666666679,2.5359340447045464,9950
38,2.5333333346,2.6271128355735,9911
39,2.6000000013,2.730855893058385,9793
40,2.666666668,2.825276356441796,9756
41,2.7333333347,2.9232543125190773,9720
42,2.8000000014,3.02886043989336,9598
43,2.8666666681,3.1305129155243674,9563
44,2.9333333348,3.233536437070334,9528
45,3.0000000015,3.343174127041268,9416
46,3.0666666682,3.4482582137723097,9382
47,3.1333333349,3.598552596856079,9063
48,3.2000000016000003,3.708007763042084,9032
49,3.2666666683,3.8193360819554076,9001
50,3.3333333350000003,3.931708241976379,8970
51,3.4000000017,4.045258739745402,8939
52,3.4666666684000003,4.167845174036443,8803
53,3.5333333351,4.3051433822055545,8676
54,3.6000000018000002,4.42273184912205,8647
55,3.6666666685,4.542812495929162,8618
56,3.7333333352,4.663724041341476,8589
57,3.8000000019,4.7904240110401615,8561
58,3.8666666686,4.918870531686087,8533
59,3.9333333353,5.068560201703698,8399
60,4.000000002,5.199246381950181,8372
61,4.0666666687,5.329701567858782,8345
62,4.1333333354,5.461998377799223,8318
63,4.2000000021,5.5947443532896655,8291
64,4.2666666688,5.768078798738669,8136
65,4.3333333355,5.905695843371517,8110
66,4.4000000022000005,6.04496749875702,8084
67,4.4666666689,6.222295171501583,7944
68,4.5333333356,6.367041488848075,7919
69,4.6000000023,6.5128233383925895,7894
70,4.6666666690000005,6.661338341707756,7869
71,4.7333333357,6.812033835016574,7844
72,4.8000000024,6.9639878239256205,7819
73,4.8666666691,7.149488279657551,7719
74,4.9333333358,7.305178429051786,7696
75,5.0000000025,7.463078889359915,7673
76,5.0666666692,7.622858918460513,7650
77,5.1333333359,7.784190257869323,7627
78,5.2000000026,7.9469627285851825,7604
79,5.2666666693,8.109362388989563,7581
80,5.333333336,8.27291184931445,7558
81,5.400000002700001,8.438629721446084,7535
82,5.4666666694,8.606420157382852,7512
83,5.5333333361,8.776077017978281,7489
84,5.6000000028,8.946331961612682,7466
85,5.6666666695000005,9.11897218569193,7443
86,5.7333333362,9.293383148381757,7420
87,5.8000000029,9.4695348626515,7397
88,5.8666666696,9.814431163870125,7197
89,5.9333333363000005,9.996496458888286,7175
90,6.000000003,10.179466376355967,7153
91,6.0666666697,10.362630622534097,7131
92,6.1333333364,10.546813373996512,7109
93,6.2000000031,10.733462413595952,7087
94,6.2666666698,10.922725175159918,7065
95,6.3333333365,11.114447916683114,7043
96,6.400000003200001,11.307530855411029,7021
97,6.4666666699,11.5029279890562,6999
98,6.5333333366,11.699422298472202,6977
99,6.6000000033,11.897448248316723,6955
100,6.666666670000001,12.098654503334503,6933
101,6.7333333367,12.712909833309956,6524
102,6.8000000034,12.925385593195127,6504
103,6.8666666701,13.419450004675326,6278
104,6.9333333368000005,13.640433352901521,6259
105,7.0000000035,13.86291306253012,6240
106,7.0666666702,14.08772980727879,6221
107,7.1333333369,14.314288374490229,6202
108,7.2000000036000005,14.537612490538857,6183
109,7.2666666703,14.762787991602144,6164
110,7.333333337,14.990832220243066,6145
111,7.4000000037,15.709049189426592,5904
112,7.4666666704,15.944401964023596,5886
113,7.5333333371,16.18147571572948,5868
114,7.6000000038,16.420092051448,5850
115,7.666666670500001,16.66056921358147,5832
116,7.7333333372,16.903082027382773,5814
117,7.8000000039,17.148047900669518,5796
118,7.8666666706,17.394983959636296,5778
119,7.933333337300001,17.644150302087432,5760
120,8.000000004,17.89373751471872,5742
121,8.0666666707,18.14648629239606,5724
122,8.1333333374,18.403537214508916,5706
123,8.2000000041,18.661435299975953,5688
124,8.2666666708,18.92205397065766,5670
125,8.333333337500001,19.186414929292088,5652
126,8.4000000042,19.451180413424474,5634
127,8.4666666709,19.716452226483053,5616
128,8.5333333376,19.984705539197083,5598
129,8.6000000043,20.255519658049266,5580
130,8.666666671,20.527296732199844,5562
131,8.7333333377,21.176607643427168,5295
132,8.800000004400001,21.45702829655273,5278
133,8.8666666711,21.737519265385757,5261
134,8.9333333378,22.021073147350936,5244
135,9.0000000045,22.307542171536287,5227
136,9.0666666712,22.595382579412053,5210
137,9.1333333379,22.884402928956323,5193
138,9.2000000046,23.175725719074943,5176
139,9.2666666713,23.471006923063374,5159
140,9.333333338000001,23.766589149777612,5142
141,9.4000000047,24.065231688559205,5125
142,9.4666666714,24.36646355145458,5108
143,9.5333333381,24.668653549330656,5091
144,9.6000000048,26.848136066482166,4497
145,9.6666666715,27.18064154197456,4482
146,9.7333333382,27.51615409447988,4467
147,9.800000004900001,27.85215550919923,4452
