lag_frames,lag_s,msd_um2,displacement_count
1,0.0333333333,0.08676867634906711,18516
2,0.0666666666,0.16486578083898257,17694
3,0.0999999999,0.2610736129454264,16985
4,0.1333333332,0.3772838134042042,16345
5,0.16666666649999998,0.5148646970952659,15755
6,0.1999999998,0.6732009082200809,14950
7,0.23333333309999998,0.8472438182844072,13657
8,0.2666666664,1.0342577633017316,12684
9,0.29999999969999996,1.2510773568390756,11827
10,0.33333333299999995,1.493191748890253,11068
11,0.36666666629999994,1.756934887022059,10517
12,0.3999999996,2.032241684285015,9909
13,0.4333333329,2.339823796641346,9427
14,0.46666666619999997,2.6616489857161807,9031
15,0.49999999949999996,3.0091996638693175,8699
16,0.5333333328,3.3841505691968523,8514
17,0.5666666660999999,3.7852615766066364,8131
18,0.5999999993999999,4.188580678881812,7878
19,0.6333333326999999,4.656703642991146,7639
20,0.6666666659999999,5.080753665493341,7398
21,0.6999999992999999,5.510510383460915,7186
22,0.7333333325999999,6.00781549337845,7082
23,0.7666666658999999,6.509013371794974,6954
24,0.7999999992,6.989220367974243,6799
25,0.8333333325,7.5353541708003435,6713
26,0.8666666658,8.110469454455592,6552
27,0.8999999991,8.694175881159097,6445
28,0.9333333323999999,9.294184576587172,6336
29,0.9666666656999999,9.929578709314546,6192
30,0.9999999989999999,10.512160820588337,6044
31,1.0333333322999998,11.12704902212429,5935
32,1.0666666656,11.883877140447089,5825
33,1.0999999989,12.60819546884647,5713
34,1.1333333321999999,13.358906476649876,5669
35,1.1666666655,14.128357600691881,5625
36,1.1999999987999999,14.917903049247105,5581
37,1.2333333321,15.681197368064147,5396
38,1.2666666653999998,16.510541686275797,5354
39,1.2999999987,17.457955395609343,5096
40,1.3333333319999998,18.331657583009267,5057
41,1.3666666653,19.023604418344032,4856
42,1.3999999985999998,19.931301186521463,4733
43,1.4333333319,20.857109037801905,4697
44,1.4666666651999998,21.71133341431545,4573
45,1.4999999984999999,22.676499309171003,4538
46,1.5333333317999998,23.927138147763724,4411
47,1.5666666650999999,24.950398216987615,4377
48,1.5999999984,25.992309782531127,4343
49,1.6333333316999998,27.145986886876717,4211
50,1.666666665,27.764211937660477,3779
51,1.6999999982999998,28.70782431694128,3440
52,1.7333333316,29.8012495963428,3414
53,1.7666666648999998,31.081291635422783,3066
54,1.7999999982,32.570010892411105,2831
55,1.8333333314999998,34.24719648768644,2270
56,1.8666666647999999,35.45912841646838,2254
57,1.8999999980999998,37.45120520927434,2128
58,1.9333333313999999,37.901368698269636,1997
59,1.9666666646999997,39.325278784369424,1865
60,1.9999999979999998,41.536898506396085,1611
61,2.0333333312999997,41.8465376196078,1355
62,2.0666666645999996,39.14971712629578,1232
63,2.0999999979,40.203805173446554,1097
64,2.1333333312,41.40137545349622,1090
65,2.1666666644999997,40.78550202099962,838
66,2.1999999978,41.94156410922381,833
67,2.2333333311,43.12425178781676,828
68,2.2666666643999998,44.33110733279416,823
69,2.2999999976999996,46.713221050232,678
70,2.333333331,47.996880613214884,674
71,2.3666666643,49.28996545741079,670
72,2.3999999975999997,50.13701090812949,521
73,2.4333333308999996,51.416137103341036,518
74,2.4666666642,52.713257448059814,515
75,2.4999999975,54.02267348211768,512
76,2.5333333307999997,55.34627733864445,509
77,2.5666666640999996,56.67886815082235,506
78,2.5999999974,58.02140516573856,503
79,2.6333333306999998,59.38656893625446,500
80,2.6666666639999996,60.760138981138454,497
81,2.6999999973,60.51190855948786,340
82,2.7333333306,61.919671970827935,338
83,2.7666666638999997,92.26202767958536,170
84,2.7999999971999996,94.34119760759235,169
