lag_frames,lag_s,msd_um2,displacement_count
1,0.0666666667,0.06605189178253075,13648
2,0.1333333334,0.15241170977634821,13531
3,0.20000000010000002,0.26482317230237473,13418
4,0.2666666668,0.4033148613560803,13307
5,0.3333333335,0.5662634937529765,13200
6,0.40000000020000004,0.755916264679892,13081
7,0.4666666669,0.9723120797083916,12967
8,0.5333333336,1.2147705407531293,12872
9,0.6000000003,1.4874725944326297,12738
10,0.666666667,1.7820625296080757,12603
11,0.7333333337,2.104522160694713,12461
12,0.8000000004000001,2.4519947145701364,12356
13,0.8666666671000001,2.825230013596609,12251
14,0.9333333338,3.2344897400095998,12119
15,1.0000000005,3.6657329260121254,12046
16,1.0666666672,4.126564239222573,11935
17,1.1333333339,4.612123067259565,11858
18,1.2000000006,5.126936221714677,11755
19,1.2666666673,5.666125925541667,11615
20,1.333333334,6.239400308241168,11514
21,1.4000000007,6.825389569895249,11414
22,1.4666666674,7.443161756031361,11313
23,1.5333333341,8.087937735862342,11258
24,1.6000000008000002,8.756200686321707,11204
25,1.6666666675000001,9.439357713564302,11098
26,1.7333333342000001,10.161940062709583,11045
27,1.8000000009000001,10.950819593006527,10951
28,1.8666666676,11.739788689086012,10865
29,1.9333333343,12.539963865347486,10815
30,2.000000001,13.370193824889514,10766
31,2.0666666677,14.251593219171031,10684
32,2.1333333344,15.174468851194899,10378
33,2.2000000011000003,16.08854537648025,10336
34,2.2666666678,17.030724865678987,10294
35,2.3333333345000002,18.004599496990867,10180
36,2.4000000012,18.991911052921015,10066
37,2.4666666679,19.959584569100606,9950
38,2.5333333346,21.003047061335803,9911
39,2.6000000013,22.0374215382336,9793
40,2.666666668,23.126970470905132,9756
41,2.7333333347,24.24058892516038,9720
42,2.8000000014,25.318269676492417,9598
43,2.8666666681,26.486775005298995,9563
44,2.9333333348,27.683137037906317,9528
45,3.0000000015,28.78818387161979,9416
46,3.0666666682,30.033014942718303,9382
47,3.1333333349,31.185778877388415,9063
48,3.2000000016000003,32.4819829628235,9032
49,3.2666666683,33.806537922253206,9001
50,3.3333333350000003,35.15936174393212,8970
51,3.4000000017,36.54223429911184,8939
52,3.4666666684000003,37.73357445067351,8803
53,3.5333333351,39.304560789999215,8676
54,3.6000000018000002,40.769185151117874,8647
55,3.6666666685,42.2598638752821,8618
56,3.7333333352,43.778648608146604,8589
57,3.8000000019,45.325001484648766,8561
58,3.8666666686,46.89892178421468,8533
59,3.9333333353,48.71385592227004,8399
60,4.000000002,50.34691512045388,8372
61,4.0666666687,51.999050101566745,8345
62,4.1333333354,53.67663344636877,8318
63,4.2000000021,55.376150793219274,8291
64,4.2666666688,56.77001071507843,8136
65,4.3333333355,58.517760236439614,8110
66,4.4000000022000005,60.29126817275213,8084
67,4.4666666689,62.19778914734114,7944
68,4.5333333356,64.0222365707998,7919
69,4.6000000023,65.86761606161313,7894
70,4.6666666690000005,67.74462775889496,7869
71,4.7333333357,69.65064194846288,7844
72,4.8000000024,71.58592593464053,7819
73,4.8666666691,73.73730797915626,7719
74,4.9333333358,75.72695868782527,7696
75,5.0000000025,77.73821008902408,7673
76,5.0666666692,79.77406083774126,7650
77,5.1333333359,81.835397014006,7627
78,5.2000000026,83.92306878198298,7604
79,5.2666666693,86.03635370915104,7581
80,5.333333336,88.17950469871481,7558
81,5.400000002700001,90.34929572178291,7535
82,5.4666666694,92.55112153148013,7512
83,5.5333333361,94.7750380881737,7489
84,5.6000000028,97.02334938685063,7466
85,5.6666666695000005,99.2977264432895,7443
86,5.7333333362,101.58981748527712,7420
87,5.8000000029,103.9100907773305,7397
88,5.8666666696,106.24668216522932,7197
89,5.9333333363000005,108.62848834849774,7175
90,6.000000003,111.03065045792087,7153
91,6.0666666697,113.46134313580365,7131
92,6.1333333364,115.9134391077156,7109
93,6.2000000031,118.39110382937073,7087
94,6.2666666698,120.88769124697954,7065
95,6.3333333365,123.4086787436574,7043
96,6.400000003200001,125.95303132035473,7021
97,6.4666666699,128.52602728206304,6999
98,6.5333333366,131.1311360745501,6977
99,6.6000000033,133.76642232622947,6955
100,6.666666670000001,136.4375251904982,6933
101,6.7333333367,139.1537052098194,6524
102,6.8000000034,141.8874110176442,6504
103,6.8666666701,145.07935186270709,6278
104,6.9333333368000005,147.87460638026812,6259
105,7.0000000035,150.6908382178443,6240
106,7.0666666702,153.53419620819315,6221
107,7.1333333369,156.39465787278982,6202
108,7.2000000036000005,159.23678646884608,6183
109,7.2666666703,162.09359749396344,6164
110,7.333333337,164.98038229652138,6145
111,7.4000000037,169.31407336869,5904
112,7.4666666704,172.26274575328466,5886
113,7.5333333371,175.24617188446157,5868
114,7.6000000038,178.25275853846145,5850
115,7.666666670500001,181.28690404889895,5832
116,7.7333333372,184.35070691650384,5814
117,7.8000000039,187.44897111009436,5796
118,7.8666666706,190.573729329756,5778
119,7.933333337300001,193.7290535261443,5760
120,8.000000004,196.90475928138426,5742
121,8.0666666707,200.11309094823682,5724
122,8.1333333374,203.3563727293861,5706
123,8.2000000041,206.62346741960232,5688
124,8.2666666708,209.91120391259975,5670
125,8.333333337500001,213.24234142570532,5652
126,8.4000000042,216.59234078734775,5634
127,8.4666666709,219.96929902585947,5616
128,8.5333333376,223.38369285068404,5598
129,8.6000000043,226.81769770183467,5580
130,8.666666671,230.2831693629369,5562
131,8.7333333377,231.778127100509,5295
132,8.800000004400001,235.2656280329008,5278
133,8.8666666711,238.77619807492474,5261
134,8.9333333378,242.32125768031096,5244
135,9.0000000045,245.90493943400284,5227
136,9.0666666712,249.51927025261153,5210
137,9.1333333379,253.15663777036727,5193
138,9.2000000046,256.81811971864886,5176
139,9.2666666713,260.5078079177683,5159
140,9.333333338000001,264.2243177130943,5142
141,9.4000000047,267.97546243634855,5125
142,9.4666666714,271.75904895185266,5108
143,9.5333333381,275.56146510227614,5091
144,9.6000000048,290.9633338820804,4497
145,9.6666666715,294.9755624740953,4482
146,9.7333333382,299.0215540755013,4467
147,9.800000004900001,303.07901647896995,4452
