lag_frames,lag_s,msd_um2,displacement_count
1,0.3333333333,0.17633745858466363,9756
2,0.6666666666,0.27087328283124645,9411
3,0.9999999999,0.3476200659916033,9098
4,1.3333333332,0.41343380545148833,8810
5,1.6666666664999998,0.4786645289148323,8536
6,1.9999999998,0.5319094732985543,8173
7,2.3333333330999997,0.5668223288252532,7551
8,2.6666666664,0.576265726626071,7056
9,2.9999999997,0.5937368927626328,6676
10,3.3333333329999997,0.6150084851255281,6360
11,3.6666666663,0.627849240641276,6021
12,3.9999999996,0.6298159204066336,5747
13,4.3333333329,0.6607826462334512,5515
14,4.666666666199999,0.6816147595617347,5355
15,4.9999999995,0.6290844679447443,5083
16,5.3333333328,0.6236799487452982,4951
17,5.666666666099999,0.6118575083914701,4810
18,5.9999999994,0.6065267773381574,4704
19,6.3333333327,0.6165697257003523,4601
20,6.666666665999999,0.5872345548911178,4442
21,6.9999999993,0.6018021799376301,4384
22,7.3333333326,0.6224785964840879,4260
23,7.666666665899999,0.6363780737023066,4182
24,7.9999999992,0.6465101246701794,4055
25,8.333333332499999,0.6712638358968794,4026
26,8.6666666658,0.6461502670336547,3891
27,8.9999999991,0.6785926809506965,3810
28,9.333333332399999,0.7044532358380547,3784
29,9.6666666657,0.7394640802240782,3703
30,9.999999999,0.7680945098416523,3678
31,10.333333332299999,0.7964080579586196,3653
32,10.6666666656,0.7449814242481834,3564
33,10.9999999989,0.7716032491989587,3540
34,11.333333332199999,0.7975536044614275,3516
35,11.6666666655,0.8242099751208842,3492
36,11.9999999988,0.8668381048392012,3394
37,12.333333332099999,0.8944608639938074,3372
38,12.6666666654,0.924823103549965,3350
39,12.9999999987,0.9350078453392399,3300
40,13.333333331999999,0.9661613841386316,3279
41,13.6666666653,1.0150920627329838,3175
42,13.9999999986,1.0461479484718288,3155
43,14.333333331899999,1.0787148421378718,3135
44,14.6666666652,1.111057436063828,3115
45,14.9999999985,1.0063662763318888,3008
46,15.333333331799999,1.0348714217340644,2989
47,15.6666666651,1.0626388906162325,2970
48,15.9999999984,1.0883584251224832,2951
49,16.3333333317,1.1135033391562736,2932
50,16.666666664999997,1.1374562803845536,2913
51,16.999999998299998,1.1612188263486733,2894
52,17.3333333316,1.1855646014109844,2875
53,17.6666666649,1.210778763715524,2856
54,17.9999999982,1.2372404748011878,2837
55,18.3333333315,1.3064007918034977,2707
56,18.666666664799997,1.333162875880885,2689
57,18.999999998099998,1.362138023130187,2671
58,19.3333333314,1.3946978362755225,2653
59,19.6666666647,1.4262601330991136,2635
60,19.999999998,1.4568715667990488,2617
61,20.3333333313,1.484294406950197,2599
62,20.666666664599997,1.512888669396967,2581
63,20.999999997899998,1.5397213171841189,2563
64,21.3333333312,1.5707982275123797,2545
65,21.6666666645,1.6007793649086188,2527
66,21.9999999978,1.6331475999374967,2509
67,22.333333331099997,1.6680607451681129,2491
