LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID12801,12801,1,1.06947481632233,2665.65050529618,1676.30888050382,0,0,0,10,1,,94.0401146131805,97,54,117,32820,15.7419417805209,0.152177685233385,1.57803400487711
ID13019,13019,1,1.0921516418457,2666.0972864913297,1676.4318683902363,0,1,1,10,1,,94.6418338108883,99,51,117,33030,16.295778067781,0.153361876496958,1.54450693547341
ID12952,12952,1,1.06560933589935,2665.655613996673,1676.276672538588,0,2,2,10,1,,94.269340974212,98,51,116,32900,15.9123571178878,0.145605551756009,1.50594383327883
ID12875,12875,1,1.04832899570465,2666.799417487939,1676.7062501540167,0,3,3,10,1,,96.0057306590258,100,60,115,33506,14.6877449638346,0.143398858337415,1.63953227150522
ID13235,13235,1,1.07432675361633,2665.878416365129,1676.6740357580802,0,4,4,10,1,,93.8022922636103,97,53,116,32737,16.0975258831292,0.151650059434952,1.53463947619452
ID13086,13086,1,1.09504628181458,2665.2656096330356,1676.8233024759459,0,5,5,10,1,,93.8166189111748,97,53,116,32742,16.1202613647057,0.154449579948175,1.55721814439368
ID13156,13156,1,1.09274387359619,2664.5628012829684,1677.265140130466,0,6,6,10,1,,94.0429799426934,98,49,117,32821,16.2489924798945,0.155383235802036,1.55671116262257
ID13306,13306,1,1.03473591804504,2663.765428037037,1677.6410117989835,0,7,7,10,1,,93.3868194842407,96,46,115,32592,15.6639254788503,0.145890973955359,1.51809901020485
ID13448,13448,1,1.03852295875549,2664.5612685248816,1678.0797278163134,0,8,8,10,1,,93.432664756447,96,50,115,32608,15.242830199027,0.146215843064383,1.56383577846745
ID13375,13375,1,1.06405925750732,2664.7907904871727,1676.8267916176987,0,9,9,10,1,,95.3925501432665,96,56,117,33292,14.6025132294415,0.147468812993403,1.67909837040433
ID13512,13512,1,1.04464089870453,2664.5971716504823,1675.2248230271755,0,10,10,10,1,,97.8051575931232,100,62,117,34134,13.6807557090634,0.143974129450665,1.79949201116587
ID13585,13585,1,1.0391857624054,2663.4384365556957,1675.553588847582,0,11,11,10,1,,98.3295128939828,101,56,118,34317,14.3054834371734,0.142151720440502,1.71095925187416
ID13654,13654,1,1.08009219169617,2661.630030792641,1675.806212265546,0,12,12,10,1,,98.0773638968481,101,51,117,34229,15.4310583190876,0.148269669450245,1.64138890471188
ID13720,13720,1,1.07503402233124,2662.8001815348393,1675.2137655904874,0,13,13,10,1,,98.7421203438396,102,58,119,34461,14.2591763991886,0.146470023717923,1.76939196519823
ID13791,13791,1,1.1026908159256,2661.667508555894,1675.61928980654,0,14,14,10,1,,98.1060171919771,101,57,117,34239,14.0966570346103,0.152489562821685,1.84167344179427
ID13862,13862,1,1.04763460159302,2663.87069798694,1675.998184233286,0,15,15,10,1,,98.3839541547278,101,61,119,34336,13.48610930142,0.143843103645238,1.83480612300767
ID13932,13932,1,1.07020556926727,2665.1749778011517,1676.6365005370385,0,16,16,10,1,,96.189111747851,99,57,116,33570,14.9892220497602,0.149109732358053,1.66541052300927
ID14073,14073,1,1.06115067005157,2665.443401559622,1676.8649249214754,0,17,17,10,1,,95.6876790830946,98,54,118,33395,15.4820026233704,0.146250158416829,1.57716022634891
ID14004,14004,1,1.06910228729248,2666.70770513713,1677.1889166148828,0,18,18,10,1,,95.0659025787966,99,59,117,33178,14.8164521247563,0.147248325698618,1.64703748042437
ID14136,14136,1,1.05172455310822,2668.5681954339775,1676.8084501552232,0,19,19,10,1,,94.1404011461318,98,54,118,32855,16.0332019324412,0.148378200284656,1.51729818139823
ID14208,14208,1,1.07185566425323,2667.4195846244033,1676.7823598165123,0,20,20,10,1,,94.7965616045845,99,55,117,33084,15.7219514774218,0.151063800838362,1.58262178876325
ID14278,14278,1,1.09660089015961,2668.810535439999,1677.058462061803,0,21,21,10,1,,96.4212034383954,99,57,119,33651,15.5026029603926,0.15217837639132,1.64297571773063
ID14346,14346,1,1.10351943969727,2668.5412327576278,1676.7366823957211,0,22,22,10,1,,96.3266475644699,99,57,120,33618,15.7194112903469,0.153027886715514,1.62656316853654
ID14420,14420,1,1.05323731899261,2667.7395164677255,1677.2573174416593,0,23,23,10,1,,95.1260744985673,98,57,117,33199,14.9000937976357,0.144978383498285,1.61676364239241
ID14492,14492,1,1.08593547344208,2668.884633374194,1678.2200083466585,0,24,24,10,1,,95.702005730659,98,53,119,33400,16.1137309010574,0.150988153451732,1.55821345105344
ID14572,14572,1,1.12465226650238,2669.3755637172844,1678.1848526134065,0,25,25,10,1,,96.3352435530086,99,56,119,33621,16.2316011228822,0.157858039891616,1.61832306485604
ID14650,14650,1,1.10052311420441,2668.7600388872333,1678.6401943953329,0,26,26,10,1,,95.7277936962751,98,56,119,33409,16.1936148550056,0.153284952851177,1.5714014088965
ID14725,14725,1,1.10655868053436,2669.403771772414,1678.0456996706494,0,27,27,10,1,,96.567335243553,99,60,117,33702,15.2469770531072,0.152241179000949,1.67365231596541
ID14797,14797,1,1.10520339012146,2669.0242065703874,1677.9782472532847,0,28,28,10,1,,95.3982808022923,98,53,119,33294,16.1282253273037,0.155965159253164,1.59612466901441
ID14871,14871,1,1.12031197547913,2669.9122771030547,1678.7181251875372,0,29,29,10,1,,97.4957020057307,99,60,119,34026,15.3704489155316,0.154840060635253,1.70094553040818
ID14944,14944,1,1.04709208011627,2669.2793344439783,1678.6346882887256,0,30,30,10,1,,93.378223495702,96,54,116,32589,15.729947506559,0.147648698048474,1.52745696469702
ID15016,15016,1,1.05116403102875,2670.215015720368,1677.711702217738,0,31,31,10,1,,94.1604584527221,96,60,115,32862,14.4942531543319,0.14716183874359,1.66676062321799
ID15082,15082,1,1.09685623645782,2669.5105824445523,1677.490028625878,0,32,32,10,1,,96.4126074498567,99,57,118,33648,15.3303268411091,0.152681112638615,1.66605198772356
ID15243,15243,1,1.08553230762482,2668.3382061674793,1676.630085277031,0,33,33,10,1,,95.6275071633238,97,54,117,33374,15.4607006364591,0.151233471335526,1.62505540375596
ID15164,15164,1,1.02585959434509,2667.807180346924,1677.3532950049582,0,34,34,10,1,,94.2951289398281,97,52,114,32909,14.6525469245795,0.141873796285316,1.59915373383044
ID15318,15318,1,1.07318234443665,2669.0316049574117,1678.8070396841492,0,35,35,10,1,,94.2492836676218,96,57,116,32893,15.135718613058,0.151734513563667,1.64072956506966
ID15390,15390,1,1.0906035900116,2668.842963450693,1679.0254760823466,0,36,36,10,1,,94.5988538681948,96,59,117,33015,15.54561692501,0.152907275414599,1.61414177982474
ID15529,15529,1,1.07296168804169,2668.5287341934304,1678.976768298836,0,37,37,10,1,,92.9054441260745,95,53,116,32424,16.1430280720128,0.154624602697071,1.54143049628967
ID15463,15463,1,1.04508197307587,2668.353579962508,1679.227590377231,0,38,38,10,1,,93.2521489971347,96,56,117,32545,15.5576247049636,0.148718497553622,1.55201862445106
ID15602,15602,1,1.0824967622757,2669.445665420053,1679.940764151484,0,39,39,10,1,,94.2922636103152,96,58,118,32908,15.7600715026738,0.150665786404585,1.56679911101701
ID15679,15679,1,1.0758228302002,2669.4602578550857,1679.5473727130527,0,40,40,10,1,,94.2120343839542,96,59,118,32880,15.6113270710198,0.150397880499904,1.57793895540573
ID15756,15756,1,1.08440589904785,2669.402724884336,1679.3958272237526,0,41,41,10,1,,92.4527220630372,95,50,115,32266,16.6136342977861,0.157846617893642,1.51729246542508
