LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID2071,2071,0,0.1763988435268402,2544.7776196400987,423.6255614750402,0.0,0.0,0,15.0,1,,10.141522029372497,8.0,0.0,34.0,7596.0,8.19212797641332,0.5268490975654125,0.8543317165937928
ID2006,2006,0,0.19061139225959778,2544.9640022215954,427.2653506130264,0.0,1.0,1,15.0,1,,11.096128170894525,8.0,0.0,42.0,8311.0,8.606448798704761,0.5350969712013366,0.8988229415370681
ID2011,2011,0,0.1564405858516693,2539.9313985061667,429.0833500236423,0.0,2.0,2,15.0,1,,9.666221628838452,8.0,0.0,33.0,7240.0,7.23835552120437,0.49245004677492865,0.8812704602418242
ID2048,2048,0,0.16890425980091095,2543.2817705139596,425.0689021363493,0.0,3.0,3,15.0,1,,10.473965287049399,9.0,0.0,31.0,7845.0,7.310232218223652,0.5244572979716476,0.9858363379772168
ID2121,2121,0,0.19190658628940582,2543.4424026225947,423.0899694233055,0.0,4.0,4,15.0,1,,11.297730307076101,9.0,0.0,36.0,8462.0,8.475712875348613,0.5462860217991244,0.9418358578773547
ID2097,2097,0,0.18102814257144928,2544.0850397322374,425.48905786175794,0.0,5.0,5,15.0,1,,10.879839786381842,9.0,0.0,35.0,8149.0,7.848769921402343,0.5432074721754945,0.9758707819987659
ID2169,2169,0,0.1754731386899948,2542.215574756095,426.68298822339284,0.0,6.0,6,15.0,1,,11.04539385847797,9.0,0.0,32.0,8273.0,7.287126643448905,0.5305620673545363,1.0508485663049245
ID2146,2146,0,0.1751658171415329,2549.076376127273,424.6474940530529,0.0,7.0,7,15.0,1,,10.543391188251002,8.0,0.0,32.0,7897.0,7.775582219924053,0.530373645516614,0.9398571626020097
ID2192,2192,0,0.16843703389167786,2546.8439586927357,415.9712683608483,0.0,8.0,8,15.0,1,,10.527369826435248,9.0,0.0,31.0,7885.0,7.3795758865569,0.5154126649431945,0.9703818078646702
ID2216,2216,0,0.18128712475299835,2544.5110996982135,413.17264962405045,0.0,9.0,9,15.0,1,,10.708945260347129,9.0,0.0,32.0,8021.0,7.974772226706853,0.5434962566747628,0.9456912772778592
ID2264,2264,0,0.171695739030838,2540.5739423929754,419.64927287576626,0.0,10.0,10,15.0,1,,10.511348464619493,9.0,0.0,33.0,7873.0,7.481452425730147,0.544807268333984,0.9909941700422152
ID2240,2240,0,0.16086316108703613,2540.1805318166657,425.7907028801091,0.0,11.0,11,15.0,1,,10.188251001335113,9.0,0.0,30.0,7631.0,6.8067731886501806,0.5165112851286376,1.0195828464984518
ID2287,2287,0,0.17692357301712036,2546.650430487215,429.87340497284083,0.0,12.0,12,15.0,1,,10.682242990654206,9.0,0.0,38.0,8001.0,7.85483040795078,0.5185438260166426,0.9287819634465289
ID2310,2310,0,0.1784592717885971,2546.4987970057828,427.3068123452476,0.0,13.0,13,15.0,1,,10.678237650200266,8.0,0.0,33.0,7998.0,7.845896716481368,0.5406124020979457,0.9551676515658035
ID2334,2334,0,0.17827580869197845,2542.449110797316,430.1455042677555,0.0,14.0,14,15.0,1,,10.439252336448599,8.0,0.0,40.0,7819.0,8.4050600672672,0.5135156441987957,0.84280156647319
ID2359,2359,0,0.19510109722614288,2540.4884790145334,421.81819806497157,0.0,15.0,15,15.0,1,,11.595460614152202,9.0,0.0,37.0,8685.0,8.509543601604268,0.534667054074986,0.9494694312066171
ID2384,2384,0,0.18365775048732758,2535.0249759330895,428.68590494610817,0.0,16.0,16,15.0,1,,11.506008010680908,9.0,0.0,35.0,8618.0,7.731561035655356,0.533287951042118,1.0352030135308574
ID2409,2409,0,0.17746181786060333,2535.016629608377,432.5553535956355,0.0,17.0,17,15.0,1,,10.455273698264353,8.0,0.0,34.0,7831.0,7.945145464731138,0.5296872008896021,0.9113399214477343
ID2458,2458,0,0.1787259727716446,2523.7937725584716,430.50545827061393,0.0,18.0,18,15.0,1,,10.799732977303071,9.0,0.0,32.0,8089.0,7.782123346418451,0.539449573982214,0.9725910975026325
ID2434,2434,0,0.19478775560855865,2526.501097814681,431.79286265336884,0.0,19.0,19,15.0,1,,11.95460614152203,10.0,0.0,35.0,8954.0,8.059973776911901,0.5578740382902897,1.0622713058100242
