lag_frames,lag_s,msd_um2,displacement_count
1,0.5,0.39544776043958113,3098
2,1.0,0.9555105305393391,3042
3,1.5,1.51950414656468,2989
4,2.0,2.095395129790821,2938
5,2.5,2.6582754384074274,2888
6,3.0,3.2311276373239486,2821
7,3.5,3.824019922254885,2730
8,4.0,4.427739548067831,2623
9,4.5,5.00480300081595,2570
10,5.0,5.533923409640461,2463
11,5.5,6.1334644981913735,2413
12,6.0,6.733652578908558,2339
13,6.5,7.151905386572314,2289
14,7.0,7.63240627185447,2236
15,7.5,8.179765468967046,2214
16,8.0,8.805458498855069,2159
17,8.5,9.209589584080426,2108
18,9.0,9.977932226006196,2022
19,9.5,10.619730471436878,2005
20,10.0,11.265845226307311,1988
21,10.5,11.932261646474128,1971
22,11.0,12.631273841588394,1954
23,11.5,13.327254458927285,1937
24,12.0,14.040708195485923,1920
25,12.5,14.746751407844798,1904
26,13.0,15.460231111941008,1888
27,13.5,16.195950598151168,1872
28,14.0,16.90559747042112,1856
29,14.5,17.5725621875984,1840
30,15.0,17.618945985381036,1762
31,15.5,18.237504806280718,1747
32,16.0,18.852730085340415,1732
33,16.5,19.459732259699095,1717
34,17.0,20.070133451690662,1702
35,17.5,20.69573385816466,1687
36,18.0,21.347951781896473,1672
37,18.5,22.022269995310058,1657
38,19.0,22.736605258088407,1642
39,19.5,23.45331602924144,1628
40,20.0,24.18936119347616,1614
41,20.5,24.884603625295426,1600
42,21.0,25.586723993941746,1586
43,21.5,26.303765089641924,1489
44,22.0,27.051091753425176,1476
45,22.5,26.48694705013239,1391
46,23.0,27.169889079426632,1379
47,23.5,27.823493907785082,1367
48,24.0,28.456500782430968,1355
49,24.5,29.776043333359706,1243
50,25.0,30.362779089348745,1232
51,25.5,29.90395172362086,1152
52,26.0,30.474568985108455,1142
53,26.5,31.02100321281525,1132
54,27.0,32.52566897635414,1014
55,27.5,33.103906365940844,1005
56,28.0,33.4447255366427,920
