–Ú∫≈	π‚«ø(%)	P(deg)	A(deg)	
0	10.084	84.701	119.997	
1	9.486	84.701	120.194	
2	8.838	84.701	120.391	
3	8.260	84.701	120.588	
4	7.731	84.701	120.785	
5	7.296	84.701	120.981	
6	6.926	84.701	121.178	
7	6.568	84.701	121.375	
8	6.311	84.701	121.572	
9	6.095	84.701	121.769	
10	5.960	84.701	121.966	
11	5.798	84.701	122.163	
12	5.720	84.701	122.360	
13	5.651	84.701	122.556	
14	5.676	84.701	122.753	
15	5.793	84.701	122.950	
16	6.047	84.701	123.147	
17	6.387	84.701	123.344	
18	6.810	84.701	123.541	
19	7.284	84.701	123.738	
20	7.837	84.701	123.935	
21	8.423	84.701	124.131	
22	9.003	84.701	124.328	
23	9.636	84.701	124.525	
24	10.288	84.701	124.722	
25	10.962	84.701	124.919	
26	11.708	84.701	125.116	
27	12.461	84.701	125.313	
28	13.434	84.701	125.510	
29	14.383	84.701	125.706	
30	15.409	84.701	125.903	
31	16.587	84.701	126.100	
32	17.775	84.701	126.297	
33	18.984	84.701	126.494	
34	20.426	84.701	126.691	
35	21.894	84.701	126.888	
36	23.471	84.701	127.085	
37	25.103	84.701	127.281	
38	26.704	84.701	127.478	
39	28.394	84.701	127.675	
