–Ú∫≈	π‚«ø(%)	P(deg)	A(deg)	
0	10.677	84.349	119.997	
1	9.973	84.349	120.194	
2	9.225	84.349	120.391	
3	8.531	84.349	120.588	
4	7.928	84.349	120.785	
5	7.381	84.349	120.981	
6	6.902	84.349	121.178	
7	6.456	84.349	121.375	
8	6.121	84.349	121.572	
9	5.831	84.349	121.769	
10	5.614	84.349	121.966	
11	5.366	84.349	122.163	
12	5.231	84.349	122.360	
13	5.091	84.349	122.556	
14	5.076	84.349	122.753	
15	5.139	84.349	122.950	
16	5.339	84.349	123.147	
17	5.662	84.349	123.344	
18	6.049	84.349	123.541	
19	6.500	84.349	123.738	
20	7.023	84.349	123.935	
21	7.617	84.349	124.131	
22	8.203	84.349	124.328	
23	8.856	84.349	124.525	
24	9.518	84.349	124.722	
25	10.217	84.349	124.919	
26	10.996	84.349	125.116	
27	11.800	84.349	125.313	
28	12.821	84.349	125.510	
29	13.814	84.349	125.706	
30	14.903	84.349	125.903	
31	16.156	84.349	126.100	
32	17.410	84.349	126.297	
33	18.697	84.349	126.494	
34	20.222	84.349	126.691	
35	21.792	84.349	126.888	
36	23.485	84.349	127.085	
37	25.285	84.349	127.281	
38	27.080	84.349	127.478	
39	28.832	84.349	127.675	
40	30.735	84.349	127.872	
41	32.568	84.349	128.069	
42	34.260	84.349	128.266	
43	36.359	84.349	128.463	
44	38.374	84.349	128.660	
45	40.534	84.349	128.856	
46	42.803	84.349	129.053	
47	45.204	84.349	129.250	
48	47.674	84.349	129.447	
49	50.308	84.349	129.644	
50	53.025	84.349	129.841	
51	55.551	84.349	130.038	
52	58.748	84.349	130.235	
53	61.857	84.349	130.431	
54	65.073	84.349	130.628	
55	68.148	84.349	130.825	
56	71.275	84.349	131.022	
57	74.392	84.349	131.219	
58	77.452	84.349	131.416	
59	80.579	84.349	131.613	
60	83.468	84.349	131.810	
61	87.058	84.349	132.006	
62	90.326	84.349	132.203	
63	93.707	84.349	132.400	
64	97.236	84.349	132.597	
65	99.997	84.349	132.794	
66	99.997	84.349	132.991	
