–Ú∫≈	π‚«ø(%)	P(deg)	A(deg)	
0	10.436	84.912	121.994	
1	9.622	84.912	122.191	
2	8.672	84.912	122.388	
3	7.827	84.912	122.585	
4	7.163	84.912	122.781	
5	6.561	84.912	122.978	
6	6.166	84.912	123.175	
7	5.931	84.912	123.372	
8	5.858	84.912	123.569	
9	5.924	84.912	123.766	
10	6.103	84.912	123.963	
11	6.414	84.912	124.160	
12	6.771	84.912	124.356	
13	7.206	84.912	124.553	
14	7.723	84.912	124.750	
15	8.303	84.912	124.947	
16	9.050	84.912	125.144	
