group,n,mean_rms_mV,std_rms_mV,mean_square_mV2
normal_temperature,14,7.7389285714285725,0.22244323883969708,59.93696207142857
heated_short,9,3.211111111111111,0.09662355360423823,10.319533333333332
heated_resistor,9,6.295333333333334,0.8163802729120786,40.22364555555556
