LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2067,2067,18,0.16013996303081512,952.891299363299,152.8924991252663,0.0,0.0,0,15.0,1,,10.289719626168225,9.0,0.0,33.0,7707.0,6.629230648081008,0.5213610472028927,1.0638409301593692
ID2068,2068,19,0.11580966413021088,2190.1588968946244,163.52843895980257,0.0,0.0,0,15.0,1,,8.149532710280374,7.0,0.0,27.0,6104.0,5.431298228766086,0.4309994431604023,0.9038498638917682
ID2069,2069,20,0.1838747262954712,236.0920294900262,382.1025128036708,0.0,0.0,0,15.0,1,,11.5086782376502,10.0,0.0,32.0,8620.0,7.510704801787429,0.5441722926276522,1.0799792728436202
ID2070,2070,21,0.2755521833896637,384.3329558992929,413.2368437137256,0.0,0.0,0,15.0,1,,24.871829105473964,24.0,11.0,38.0,18629.0,5.026094420704428,0.5172893492017161,3.3742107515699638
ID2071,2071,0,0.1763988435268402,2544.7776196400987,423.6255614750402,0.0,0.0,0,15.0,1,,10.141522029372497,8.0,0.0,34.0,7596.0,8.19212797641332,0.5268490975654125,0.8543317165937928
ID2072,2072,2,0.2338659167289734,2951.532369512996,623.049580792496,0.0,0.0,0,15.0,1,,13.643524699599466,11.0,0.0,41.0,10219.0,9.529564263202943,0.6034162012519909,1.0775916884999888
ID2073,2073,,0.1059238463640213,1277.5751082245013,700.5751967414498,0.0,0.0,0,15.0,1,,9.995994659546062,10.0,0.0,26.0,7487.0,5.607122569374848,0.33093645076206196,0.8865500259788845
ID2074,2074,,0.23621365427970886,2216.000003883673,786.2981836419272,0.0,0.0,0,15.0,1,,13.118825100133511,10.0,0.0,45.0,9826.0,10.32638646581147,0.5976685503662624,0.9504959715572536
ID2075,2075,4,0.20903103053569794,1227.0492987869113,1183.8176084518157,0.0,0.0,0,15.0,1,,11.91588785046729,9.0,0.0,42.0,8925.0,9.617393232385584,0.5481140604079073,0.877338154779027
ID2076,2076,5,0.1975371241569519,2346.7534060490307,1245.942312767872,0.0,0.0,0,15.0,1,,11.253671562082777,8.0,0.0,36.0,8429.0,8.80081139939417,0.5544683399400069,0.9122132781053436
ID2077,2077,6,0.13887840509414673,394.48944373102574,1342.8445260665005,0.0,0.0,0,15.0,1,,13.526034712950601,13.0,0.0,23.0,10131.0,3.334462395856615,0.477511032757885,2.6219677587705306
ID2078,2078,7,0.11251556873321533,2991.072891110038,1373.1085624538762,0.0,0.0,0,15.0,1,,9.10146862483311,9.0,0.0,22.0,6817.0,4.087984281686562,0.47532129337870704,1.4346068964324334
ID2079,2079,8,0.18398092687129974,705.6121522730404,1458.0338857290378,0.0,0.0,0,15.0,1,,11.380507343124165,9.0,0.0,32.0,8524.0,7.472279914586841,0.5689325125513639,1.1045744077645876
ID2080,2080,9,0.17510978877544403,2310.9544014323687,1644.1693887896256,0.0,0.0,0,15.0,1,,11.317757009345794,10.0,0.0,30.0,8477.0,7.255126698512227,0.5137560206205366,1.0588791599554863
ID2081,2081,10,0.19177745282649994,2834.0852295930613,1684.1750027235632,0.0,0.0,0,15.0,1,,11.297730307076101,8.0,0.0,36.0,8462.0,8.8022394863635,0.5353966858626992,0.8951237870369345
ID2082,2082,11,0.13646890223026276,2538.8719625556973,1745.8035878623814,0.0,0.0,0,15.0,1,,9.619492656875835,9.0,0.0,25.0,7205.0,5.201366979827168,0.5159179030659872,1.258837244219061
ID2083,2083,12,0.15568436682224274,2602.445372992335,1783.7162281401904,0.0,0.0,0,15.0,1,,11.044058744993324,10.0,0.0,30.0,8272.0,5.828835986636718,0.5091762250011381,1.2785126533428401
ID2084,2084,13,0.1799391210079193,517.462668862017,1810.9880162787501,0.0,0.0,0,15.0,1,,11.201602136181576,10.0,0.0,37.0,8390.0,7.639308533033803,0.5390888373950726,1.0271946273283736
ID2085,2085,14,0.22311514616012573,2321.073441759619,1846.63068527005,0.0,0.0,0,15.0,1,,12.9652870493992,10.0,0.0,40.0,9711.0,9.769201404102118,0.5543098865776915,0.9466034524366391
ID2086,2086,,0.10073474794626236,2824.558602946126,1898.4552925997548,0.0,0.0,0,15.0,1,,7.6675567423230975,6.0,0.0,26.0,5743.0,5.342321896620432,0.3474620652357592,0.7401978017541077
ID2087,2087,,0.10399129241704941,702.0731402962707,1899.6545110924933,0.0,0.0,0,15.0,1,,9.08010680907877,9.0,0.0,20.0,6801.0,4.176454498865027,0.4381099324327084,1.32465935827984
ID2088,2088,16,0.14300976693630219,2848.34645605193,1936.5669552724953,0.0,0.0,0,15.0,1,,9.232309746328438,7.0,0.0,32.0,6915.0,7.219031045101004,0.41490935739835616,0.7500428298165612
ID2089,2089,17,0.20522497594356537,695.1188804801557,1961.9236892074557,0.0,0.0,0,15.0,1,,12.42456608811749,10.0,0.0,37.0,9306.0,8.833803268835274,0.5317032657475464,0.9764683978091857
ID2090,2090,,0.1406574547290802,1978.0,2047.0,0.0,0.0,0,15.0,1,,6.775700934579439,5.0,0.0,30.0,5075.0,7.279588135221789,0.5489294178598845,0.6597240155883216
ID2016,2016,5,0.19308802485466003,2351.8960890070034,1247.3265872381721,0.0,1.0,1,15.0,1,,11.76502002670227,10.0,0.0,34.0,8812.0,7.974612417844456,0.5615221054805507,1.0610401132639653
